model,input_price_usd_per_1m_tokens,output_price_usd_per_1m_tokens,cache_read_usd_per_1m_tokens,cache_write_usd_per_1m_tokens,monthly_usage_usd,long_context_threshold_tokens,long_context_input_price_usd_per_1m_tokens,long_context_output_price_usd_per_1m_tokens,long_context_cache_read_usd_per_1m_tokens,long_context_cache_write_usd_per_1m_tokens,artificial_analysis_model,artificial_analysis_intelligence_index,opencode_go_blended_usd_per_1m_tokens,long_context_blended_usd_per_1m_tokens,opencode_go_effective_usd_per_1m_tokens,long_context_effective_usd_per_1m_tokens,value_score,scraped_at
Grok 4.6,2,6,0.5,,15,200000,4,12,1,,Grok 4.6 (high),51,1.35,2.7,0.09,0.18,61.45757490560675125409944193,2026-09-06T20:02:12Z
GPT 5.6 Luna,0.2,1.2,0.02,0.25,15,272000,0.4,1.8,0.04,0.5,GPT-5.6 Luna (max),43,0.174,0.288,0.0116,0.0192,62.35542010773081522239675448,2026-09-06T20:02:12Z
GLM-5.3-Flash,0.15,0.5,0.03,,15,,,,,,GLM-5.3-Flash,46,0.101,,0.006733333333333333333333333333,,67.7176988527303866780610083,2026-09-06T20:02:12Z
GLM-5.3,1.4,4.4,0.26,,15,,,,,,GLM-5.3 (max),49,0.902,,0.06013333333333333333333333333,,61.20884721513739511607938293,2026-09-06T20:02:12Z
GLM-5.2,1.4,4.4,0.26,,60,,,,,,GLM-5.2 (max),43,0.902,,0.01503333333333333333333333333,,61.22944712841701902035416082,2026-09-06T20:02:12Z
GLM-5.1,1.4,4.4,0.26,,60,,,,,,,,0.902,,0.01503333333333333333333333333,,,2026-09-06T20:02:12Z
Kimi K3,3,15,0.3,,15,,,,,,Kimi K3 (max),50,2.31,,0.154,,58.12479279163536933323844875,2026-09-06T20:02:12Z
Kimi K2.7 Code,0.95,4,0.19,,60,,,,,,Kimi K2.7 Code,34,0.723,,0.01205,,53.19012953089112811136854928,2026-09-06T20:02:12Z
Kimi K2.6,0.95,4,0.16,,60,,,,,,,,0.702,,0.0117,,,2026-09-06T20:02:12Z
LongCat-2.0,0.3,1.2,0.006,,60,,,,,,LongCat 2.0,26,0.1842,,0.00307,,51.12861624522813515245391563,2026-09-06T20:02:12Z
