model,context_window_tokens,creator,license,artificial_analysis_intelligence_index,artificial_analysis_omniscience_index,gdpval_aa_v2,terminal_bench_hard_pct,terminal_bench_v2_1,tau2_bench_telecom_pct,banking,aa_lcr_pct,aa_omniscience_accuracy_pct,aa_omniscience_non_hallucination_rate_pct,humanitys_last_exam_pct,gpqa_diamond_pct,scicode_pct,ifbench_pct,critpt_pct,apex_agents_aa_pct,itbench_aa,mmmu_pro_pct,blended_usd_per_1m_tokens,input_price_usd_per_1m_tokens,output_price_usd_per_1m_tokens,cache_read_usd_1m_tokens,cache_write_usd_1m_tokens,median_tokens_per_second,p5_tokens_per_second,p25_tokens_per_second,p75_tokens_per_second,p95_tokens_per_second,first_chunk_latency_seconds,first_answer_latency_seconds,p5_first_chunk_latency_seconds,p25_first_chunk_latency_seconds,p75_first_chunk_latency_seconds,p95_first_chunk_latency_seconds,total_response_time_seconds,reasoning_time_seconds
Claude Fable 5 (with fallback),1000000,Anthropic,Proprietary,60,40,63,63,85,99,27,70,61,45,53,93,60,63,29,,,,7.70,10.00,50.00,1.00,12.50,66,46,52,67,86,117.20,117.20,65.23,93.29,214.71,314.63,124.82,
GPT-5.6 Sol (max),1000000,OpenAI,Proprietary,59,22,62,66,88,85,33,74,59,11,47,94,56,73,32,,56,83,4.35,5.00,30.00,0.50,6.25,57,42,54,75,85,118.83,118.83,49.63,92.75,184.85,333.82,127.56,
GPT-5.6 Sol (xhigh),1000000,OpenAI,Proprietary,58,21,60,61,90,85,33,71,58,11,45,93,56,71,29,,,83,4.35,5.00,30.00,0.50,6.25,63,36,50,66,85,31.18,31.18,15.27,19.69,95.46,183.89,39.17,
GPT-5.6 Sol (high),1000000,OpenAI,Proprietary,56,20,57,62,87,83,31,68,57,12,44,93,57,69,26,,,82,4.35,5.00,30.00,0.50,6.25,56,30,51,75,87,8.17,8.17,3.84,6.15,33.48,107.49,17.18,
Claude Opus 4.8 (max),1000000,Anthropic,Proprietary,56,27,55,58,85,94,28,68,47,64,46,92,53,62,21,,,,3.85,5.00,25.00,0.50,6.25,55,39,49,62,70,24.43,24.43,5.01,6.42,54.01,171.91,33.56,
GPT-5.6 Terra (max),1000000,OpenAI,Proprietary,55,0,55,58,88,86,32,74,46,15,42,93,54,71,30,,51,81,2.17,2.50,15.00,0.25,3.13,138,105,115,157,186,150.96,150.96,30.80,122.91,208.25,244.77,154.60,
GPT-5.5 (xhigh),922000,OpenAI,Proprietary,55,20,50,61,84,94,31,74,57,14,44,94,56,76,27,38,46,80,4.35,5.00,30.00,0.50,,67,44,54,82,90,96.36,96.36,17.24,54.72,140.01,188.93,103.81,
Grok 4.5 (high),500000,SpaceXAI,Proprietary,54,26,52,,82,,33,68,52,46,40,93,54,,15,,,80,1.35,2.00,6.00,0.50,,125,71,99,143,182,9.12,9.12,2.49,4.37,15.52,23.23,13.13,
GPT-5.6 Sol (medium),1000000,OpenAI,Proprietary,54,19,53,63,86,81,26,69,57,13,40,93,56,70,23,,,81,4.35,5.00,30.00,0.50,6.25,55,36,51,68,94,4.55,4.55,2.65,3.10,9.10,45.09,13.67,
Claude Opus 4.7 (max),1000000,Anthropic,Proprietary,54,26,50,52,83,89,29,70,46,64,40,91,55,59,12,,47,79,3.85,5.00,25.00,0.50,6.25,47,37,44,54,63,18.71,18.71,3.82,5.13,51.24,220.38,29.32,
Claude Sonnet 5 (max),1000000,Anthropic,Proprietary,53,15,55,,81,,28,71,38,63,40,91,54,,17,,,77,1.54,2.00,10.00,0.20,2.50,72,52,66,96,99,205.86,205.86,63.77,154.46,237.03,265.29,212.85,
GPT-5.5 (high),922000,OpenAI,Proprietary,53,18,49,60,79,93,29,73,56,14,43,93,56,72,25,,,81,4.35,5.00,30.00,0.50,,67,41,57,80,95,19.21,19.21,8.88,10.55,44.16,98.30,26.73,
GPT-5.6 Terra (xhigh),1000000,OpenAI,Proprietary,52,-3,54,63,80,80,24,71,45,13,40,91,52,66,27,,,79,2.17,2.50,15.00,0.25,3.13,122,91,101,139,172,16.03,16.03,4.27,9.72,37.26,75.11,20.12,
GPT-5.6 Luna (max),1000000,OpenAI,Proprietary,51,-11,55,,81,,27,74,42,10,37,91,53,,21,,40,79,0.87,1.00,6.00,0.10,1.25,210,165,187,241,281,98.45,98.45,46.25,70.99,135.80,169.45,100.83,
GLM-5.2 (max),1000000,Z AI,Open,51,4,51,51,78,99,27,71,25,72,40,89,50,73,21,34,43,,0.90,1.40,4.40,0.26,,146,36,63,273,464,1.45,15.16,0.67,0.95,2.01,8.47,18.59,13.72
Muse Spark 1.1 (xhigh),1050000,Meta,Proprietary,51,18,44,,78,,25,63,41,62,45,90,58,,15,,,,0.78,1.25,4.25,0.15,,118,105,112,141,156,1.57,18.53,1.20,1.26,2.29,7.69,22.76,16.96
GPT-5.5 (medium),922000,OpenAI,Proprietary,50,17,44,58,81,92,26,72,56,14,41,93,53,71,19,,,81,4.35,5.00,30.00,0.50,,61,45,52,69,91,6.27,6.27,1.61,3.44,17.30,43.87,14.51,
Gemini 3.5 Flash,1000000,Google,Proprietary,50,23,42,41,79,95,25,69,52,39,41,92,53,76,13,47,40,84,1.31,1.50,9.00,0.15,,161,124,146,213,257,27.10,27.10,12.94,18.73,72.12,173.39,30.20,
GPT-5.6 Sol (low),1000000,OpenAI,Proprietary,49,18,47,61,77,76,24,68,56,13,37,90,55,67,15,,,81,4.35,5.00,30.00,0.50,6.25,53,28,49,61,76,3.71,3.71,1.57,2.55,5.88,15.85,13.10,
GPT-5.6 Luna (xhigh),1000000,OpenAI,Proprietary,49,-12,52,,78,,24,70,41,10,36,89,50,,21,,,79,0.87,1.00,6.00,0.10,1.25,188,161,172,209,262,26.16,26.16,10.06,20.39,47.22,77.61,28.81,
GPT-5.6 Terra (high),1000000,OpenAI,Proprietary,49,-4,51,58,76,78,22,72,44,13,37,90,50,64,23,,,79,2.17,2.50,15.00,0.25,3.13,109,93,99,144,162,2.16,2.16,1.45,1.76,3.76,27.63,6.73,
Gemini 3.1 Pro Preview,1000000,Google,Proprietary,46,33,23,54,74,96,16,73,55,50,45,94,59,77,18,32,30,82,1.74,2.00,12.00,0.20,,117,96,110,138,165,39.54,39.54,13.20,20.78,64.58,116.40,43.81,
GPT-5.6 Luna (high),1000000,OpenAI,Proprietary,46,-12,49,,70,,22,69,41,10,32,89,51,,17,,,78,0.87,1.00,6.00,0.10,1.25,175,114,166,199,245,5.10,5.10,2.86,3.88,14.56,35.26,7.95,
Qwen3.7 Max,1000000,Alibaba,Proprietary,46,14,39,51,75,95,11,69,30,77,38,92,49,81,13,,42,,1.43,2.50,7.50,0.25,3.13,200,89,187,223,231,2.45,14.47,2.32,2.37,2.64,2.87,16.96,12.02
GPT-5.6 Terra (medium),1000000,OpenAI,Proprietary,46,-5,45,,72,73,19,68,44,12,32,87,50,62,17,,,77,2.17,2.50,15.00,0.25,3.13,108,94,103,143,165,1.63,1.63,1.01,1.19,2.34,5.06,6.25,
Gemini 3.5 Flash (medium),1000000,Google,Proprietary,45*,22,,39,,96,,71,51,40,40,92,53,75,11,,,84,1.31,1.50,9.00,0.15,,162,127,144,212,278,21.97,21.97,11.83,15.15,68.61,158.50,25.06,
MiniMax-M3,1000000,MiniMax,Open,44,1,45,42,65,89,13,74,15,84,37,93,45,83,4,,,79,0.22,0.30,1.20,0.06,0.38,86,45,68,113,163,2.06,25.41,1.13,1.37,2.66,7.47,31.25,23.35
DeepSeek V4 Pro (max),1000000,DeepSeek,Open,44,-10,40,46,64,96,26,66,43,6,36,89,50,76,13,24,38,,0.18,0.43,0.87,0.00,,62,38,54,79,97,1.78,71.99,0.98,1.68,1.88,2.12,80.01,70.20
GPT-5.3 Codex (xhigh),400000,OpenAI,Proprietary,44*,10,,53,,86,,74,52,13,40,92,53,75,17,,,78,1.87,1.75,14.00,0.17,,78,59,71,107,133,120.81,120.81,47.18,83.06,185.29,275.19,127.26,
Kimi K2.6,256000,Kimi,Open,44,6,35,44,66,96,21,70,33,61,36,91,53,76,8,28,31,79,0.70,0.95,4.00,0.16,,44,27,31,50,70,2.91,103.22,2.03,2.36,3.10,5.54,114.49,100.31
GPT-5.5 (low),922000,OpenAI,Proprietary,43,15,35,52,66,84,21,72,54,14,31,91,52,64,8,,,79,4.35,5.00,30.00,0.50,,61,36,55,77,94,1.87,1.87,1.12,1.57,2.53,5.64,10.12,
Muse Spark,262000,Meta,Proprietary,43,4,32,45,62,92,20,70,45,27,40,88,52,76,11,,,81,,,,,,,,,,,,,,,,,,
"Claude Opus 4.7 (Non-reasoning, high)",1000000,Anthropic,Proprietary,43*,14,,55,,74,,67,44,48,31,88,50,44,5,,,76,3.85,5.00,25.00,0.50,6.25,45,30,40,54,61,1.90,1.90,1.56,1.69,2.26,2.98,12.99,
MiMo-V2.5-Pro,1000000,Xiaomi,Open,42,4,38,43,65,94,9,73,23,75,34,87,50,80,4,2,38,,0.18,0.43,0.87,0.00,,54,44,50,63,70,2.91,39.81,2.30,2.60,3.34,4.30,49.04,36.90
